[Header]
BYAPP, Resistivity
INFO, hall_tdep_synth, SAMPLE
INFO, 2.0, Sample1 Cross Section
INFO, 2.0, Sample1 Length
INFO, 2.0, Sample2 Cross Section
INFO, 2.0, Sample2 Length
[Data]
Temperature (K),Magnetic Field (Oe),Bridge 1 Resistance (Ohms),Bridge 2 Resistance (Ohms),Bridge 2 Resistivity (Ohm-m)
2.0000,-20000.0,2.4040000000e-03,1.0200000000e-03,1.0200000000e-06
3.0000,-20000.0,2.4060000000e-03,1.0300000000e-03,1.0300000000e-06
4.0000,-20000.0,2.4080000000e-03,1.0400000000e-03,1.0400000000e-06
5.0000,-20000.0,2.4100000000e-03,1.0500000000e-03,1.0500000000e-06
6.0000,-20000.0,2.4120000000e-03,1.0600000000e-03,1.0600000000e-06
7.0000,-20000.0,2.4140000000e-03,1.0700000000e-03,1.0700000000e-06
8.0000,-20000.0,2.4160000000e-03,1.0800000000e-03,1.0800000000e-06
9.0000,-20000.0,2.4180000000e-03,1.0900000000e-03,1.0900000000e-06
10.0000,-20000.0,2.4200000000e-03,1.1000000000e-03,1.1000000000e-06
11.0000,-20000.0,2.4220000000e-03,1.1100000000e-03,1.1100000000e-06
12.0000,-20000.0,2.4240000000e-03,1.1200000000e-03,1.1200000000e-06
13.0000,-20000.0,2.4260000000e-03,1.1300000000e-03,1.1300000000e-06
14.0000,-20000.0,2.4280000000e-03,1.1400000000e-03,1.1400000000e-06
15.0000,-20000.0,2.4300000000e-03,1.1500000000e-03,1.1500000000e-06
16.0000,-20000.0,2.4320000000e-03,1.1600000000e-03,1.1600000000e-06
17.0000,-20000.0,2.4340000000e-03,1.1700000000e-03,1.1700000000e-06
18.0000,-20000.0,2.4360000000e-03,1.1800000000e-03,1.1800000000e-06
19.0000,-20000.0,2.4380000000e-03,1.1900000000e-03,1.1900000000e-06
20.0000,-20000.0,2.4400000000e-03,1.2000000000e-03,1.2000000000e-06
21.0000,-20000.0,2.4420000000e-03,1.2100000000e-03,1.2100000000e-06
22.0000,-20000.0,2.4440000000e-03,1.2200000000e-03,1.2200000000e-06
23.0000,-20000.0,2.4460000000e-03,1.2300000000e-03,1.2300000000e-06
24.0000,-20000.0,2.4480000000e-03,1.2400000000e-03,1.2400000000e-06
25.0000,-20000.0,2.4500000000e-03,1.2500000000e-03,1.2500000000e-06
