[Header]
TITLE,hc_synth
BYAPP, HeatCapacity, 2.0, 1.0
INFO, 3, ATOMS:Atoms per Formula Unit
[Data]
Comment,Time Stamp (sec),Status (code),Sample Temp (Kelvin),Magnetic Field (Oe),Samp HC (mJ/mole-K)
,0,,2.0000,0.0,24.000089
,0,,2.5000,0.0,32.841908
,0,,3.0000,0.0,43.464225
,0,,3.5000,0.0,56.286712
,0,,4.0000,0.0,71.901791
,0,,4.5000,0.0,90.293082
,0,,5.0000,0.0,112.520298
,0,,5.5000,0.0,138.743103
,0,,6.0000,0.0,167.751928
,0,,6.5000,0.0,201.935911
,0,,7.0000,0.0,241.854890
,0,,7.5000,0.0,286.243642
,0,,8.0000,0.0,336.106254
,0,,8.5000,0.0,390.968077
,0,,9.0000,0.0,454.460039
,0,,9.5000,0.0,524.779590
,0,,10.0000,0.0,597.579551
,0,,10.5000,0.0,682.871280
,0,,11.0000,0.0,771.070530
,0,,11.5000,0.0,872.035891
,0,,12.0000,0.0,978.530506
,0,,12.5000,0.0,1100.717783
,0,,13.0000,0.0,1223.696937
,0,,13.5000,0.0,1366.052637
,0,,14.0000,0.0,1512.274991
,0,,14.5000,0.0,1667.633891
,0,,15.0000,0.0,1822.414096
,0,,16.0000,0.0,2201.431669
,0,,17.0000,0.0,2619.477719
,0,,18.0000,0.0,3083.621018
,0,,19.0000,0.0,3577.811132
,0,,20.0000,0.0,4149.691088
,0,,21.0000,0.0,4752.534799
,0,,22.0000,0.0,5413.089686
,0,,23.0000,0.0,6153.048292
,0,,24.0000,0.0,6869.781322
,0,,25.0000,0.0,7681.944445
,0,,26.0000,0.0,8542.022489
,0,,27.0000,0.0,9377.058997
,0,,28.0000,0.0,10298.113452
,0,,29.0000,0.0,11243.768134
,0,,30.0000,0.0,12207.622930
,0,,31.0000,0.0,13145.133439
,0,,32.0000,0.0,14204.649390
,0,,33.0000,0.0,15287.144319
,0,,34.0000,0.0,16185.737027
,0,,35.0000,0.0,17351.146737
,0,,36.0000,0.0,18364.505337
,0,,37.0000,0.0,19375.170480
,0,,38.0000,0.0,20590.459485
,0,,39.0000,0.0,21569.970721
,0,,40.0000,0.0,22488.453665
,0,,41.0000,0.0,23617.554754
,0,,42.0000,0.0,24689.416046
,0,,43.0000,0.0,25656.971272
