[Header]
TITLE,heat_capacity_multifield.dat
BYAPP,HeatCapacity,3.9.6,1.7
INFO,5.0,MASS:Sample Mass (mg)
INFO,0.01,MASSERR:Sample Mass Error (mg)
INFO,950.0,MOLWGHT:Formula Weight (g/mole)
INFO,1,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (mJ/mole-K),Samp HC Err (mJ/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (mJ/mole-K/K),Addenda Offset HC (µJ/K)
0.00000,anonymized
0.00593,,1857,2.20012,2.20012,0.46872109,9.8999999E-6,2.2159683,0.047512039,102.25137,1.237,0.20437234,0.005654,0.69093353,0.005784,22.541825,0.38120442,0.0056495752,92.871476,59.140902,0.2762,1,,,,1.8825718E-6,0.71607881,4.9105154,46.142978,0
116.19530,,1857,2.40526,2.40526,0.46872109,9.8999999E-6,2.4123156,0.049016936,132.02258,1.362,0.23853636,0.006136,0.86676328,0.006327,23.291422,0.43649015,0.0058142072,93.283512,59.12422,0.2408,1,,,,2.0619198E-6,0.76240884,5.8192666,54.72857,0
231.19431,,1857,2.61042,2.61042,0.48746994,9.8999999E-6,2.610903,0.052527485,168.46931,1.508,0.27977481,0.006712,1.0814328,0.006951,2.5873389,0.49681927,0.0060686787,93.575621,58.997126,0.2132,1,,,,2.2598874E-6,0.8729803,6.8168145,64.525304,0
347.25035,,1857,2.81587,2.81587,0.44997227,9.8999999E-6,2.8107156,0.056006428,212.20398,1.69,0.32937695,0.007383,1.3391455,0.007723,12.345048,0.56561923,0.006477596,93.758468,58.809223,0.1927,1,,,,2.4582658E-6,0.99363853,7.9001219,75.498204,0
464.19416,,1857,3.02139,3.02139,0.4124746,9.8999999E-6,3.0168389,0.059224477,267.12867,1.909,0.39001657,0.008154,1.6611432,0.008635,2.8217143,0.64541941,0.0070336507,93.856993,58.459549,0.175,1,,,,2.6735093E-6,1.1312385,9.1013168,88.545884,0
581.62359,,1857,3.22585,3.22585,0.48746994,9.8999999E-6,3.218014,0.062614375,329.48826,2.173,0.45768914,0.009076,2.0255526,0.009736,22.507756,0.72728155,0.0076234119,93.921155,58.144855,0.1629,1,,,,2.8942916E-6,1.2908388,10.355614,102.3887,0
699.14782,,1857,3.43096,3.43096,0.44997227,9.8999999E-6,3.4193259,0.065962259,402.38141,2.494,0.53466093,0.01011,2.4493851,0.01108,10.913696,0.8251925,0.0083315283,93.990765,57.798331,0.1539,1,,,,3.0854559E-6,1.4545631,11.69179,117.67858,0
818.61534,,1857,3.63715,3.63715,0.52496761,9.8999999E-6,3.6232461,0.071911936,486.84116,2.772,0.62015163,0.01123,2.9367759,0.01215,7.1449207,0.91868356,0.0086620438,94.248201,57.472046,0.1429,1,,,,3.3193184E-6,1.650385,13.127912,134.36602,0
938.87324,,1857,3.84199,3.84199,0.46872109,9.8999999E-6,3.8260335,0.075027181,583.73429,3.119,0.71735369,0.01242,3.495042,0.0135,18.310869,1.0242463,0.0095962581,94.15536,57.117638,0.1349,1,,,,3.5474118E-6,1.8373671,14.638533,152.56905,0
1058.81634,,1857,4.04693,4.04693,0.43122342,9.8999999E-6,4.0291069,0.078361112,694.93594,3.54,0.82501189,0.01365,4.1318511,0.01516,23.182801,1.1335704,0.010465746,94.11383,56.738861,0.1291,1,,,,3.7924247E-6,2.0484927,16.233702,172.4789,0
1179.71221,,1857,4.25241,4.25241,0.48746994,9.8999999E-6,4.2324693,0.081905167,820.26195,4.02,0.9420233,0.01508,4.8452239,0.01705,9.6078921,1.2583305,0.011512961,94.0408,56.37581,0.1247,1,,,,4.0103862E-6,2.2671409,17.913796,193.80222,0
1301.27797,,1857,4.45806,4.45806,0.44997227,9.8999999E-6,4.4365242,0.085836354,961.74589,4.588,1.0680563,0.01676,5.6445056,0.01932,10.150023,1.3880275,0.012460506,94.024332,56.007611,0.1217,1,,,,4.2380653E-6,2.5166611,19.682747,216.77914,0
1422.50508,,1857,4.66301,4.66301,0.48746994,9.8999999E-6,4.641954,0.091050463,1119.0062,5.105,1.2041366,0.01849,6.5289061,0.02121,23.380141,1.5164602,0.013160235,94.104436,55.668804,0.1173,1,,,,4.486406E-6,2.7760549,21.547737,241.06362,0
1544.51851,,1857,4.86806,4.86806,0.48746994,9.8999999E-6,4.8468077,0.09476817,1291.4373,5.697,1.3559883,0.02029,7.5012678,0.02342,23.427084,1.6548538,0.014274845,94.042068,55.350138,0.1143,1,,,,4.7273738E-6,3.0329205,23.491545,266.45111,0
1668.47232,,1857,5.07361,5.07361,0.46872109,9.8999999E-6,5.051859,0.098454068,1484.7654,6.424,1.5197646,0.02214,8.584992,0.02623,3.4410138,1.7971909,0.015314251,94.012183,54.98512,0.1128,1,,,,4.9848078E-6,3.3097077,25.521279,293.90476,0
1792.24530,,1857,5.27886,5.27886,0.52496761,9.8999999E-6,5.2565676,0.10250813,1691.5742,7.167,1.6929159,0.02404,9.7422391,0.02903,12.597308,1.9459675,0.016540022,93.933383,54.673346,0.1115,1,,,,5.2290748E-6,3.5943818,27.631503,321.80204,0
1918.14173,,1857,5.48406,5.48406,0.54371649,9.8999999E-6,5.4676517,0.10691816,1923.0498,7.697,1.8783509,0.02599,11.029146,0.03046,51.749964,2.0788718,0.017175875,94.005887,54.353576,0.1071,1,,,,5.5402507E-6,3.891935,29.895215,351.71403,0
2043.96333,,1857,5.68895,5.68895,0.50621879,9.8999999E-6,5.6729496,0.11084029,2160.2995,8.568,2.0744184,0.02808,12.354162,0.03377,5.0586096,2.2379625,0.018483321,93.935267,54.094605,0.1073,1,,,,5.7691844E-6,4.1577437,32.182357,380.80711,0
2172.86760,,1857,5.89541,5.89541,0.48746994,9.8999999E-6,5.8784827,0.1151216,2429.2601,9.591,2.2856433,0.03043,13.845231,0.03772,30.902077,2.4174145,0.019961986,93.847238,53.711597,0.1081,1,,,,5.9913166E-6,4.475925,34.556559,413.24612,0
2301.95403,,1857,6.09954,6.09954,0.48746994,9.8999999E-6,6.0853555,0.12002852,2707.6496,10.4,2.5084101,0.03296,15.392708,0.04036,16.197128,2.5370485,0.020577943,93.891842,53.410163,0.107,1,,,,6.3460791E-6,4.8348289,37.031552,444.94518,0
2431.79860,,1857,6.30536,6.30536,0.46872109,9.8999999E-6,6.2903062,0.12317852,3004.0985,11.29,2.7447656,0.03571,17.03971,0.04331,29.787167,2.7034403,0.021984203,93.813703,53.081646,0.1065,1,,,,6.5980006E-6,5.074097,39.567953,477.57588,0
2561.91225,,1857,6.51053,6.51053,0.50621879,9.8999999E-6,6.4962731,0.12766226,3316.7333,12.49,2.9941492,0.03872,18.776761,0.048,8.9453302,2.8698575,0.023299004,93.769716,52.761664,0.1085,1,,,,6.8525138E-6,5.4068807,42.201564,510.55941,0
2695.27785,,1857,6.71512,6.71512,0.50621879,9.8999999E-6,6.7020902,0.13179033,3654.5338,13.75,3.2553608,0.04199,20.645389,0.05282,21.594917,3.033927,0.024645485,93.704566,52.383517,0.1103,1,,,,7.1319934E-6,5.739715,44.918013,545.28269,0
2827.64709,,1857,6.92105,6.92105,0.50621879,9.8999999E-6,6.9076861,0.1364201,4003.8883,14.8,3.5249967,0.04533,22.577422,0.05627,11.313237,3.1844814,0.025715517,93.688655,52.026206,0.1107,1,,,,7.432843E-6,6.0678539,47.716127,579.628,0
2962.62465,,1857,7.12621,7.12621,0.50621879,9.8999999E-6,7.1131078,0.14007343,4374.9044,15.99,3.8107803,0.04864,24.628678,0.0604,10.62902,3.3441085,0.026964162,93.648393,51.629797,0.1118,1,,,,7.7247315E-6,6.3689629,50.596303,615.04824,0
3097.16461,,1857,7.33131,7.33131,0.48746994,9.8999999E-6,7.3186907,0.14388694,4766.0517,17.23,4.1090289,0.05181,26.788194,0.06464,4.8244679,3.5022465,0.028235623,93.600436,51.205203,0.1131,1,,,,8.0268905E-6,6.688217,53.563234,651.21644,0
3232.27822,,1857,7.536,7.536,0.54371649,9.8999999E-6,7.5242754,0.14870239,5168.664,18.44,4.4163742,0.05494,29.011362,0.06866,17.653522,3.6825964,0.029502288,93.59946,50.788678,0.1144,1,,,,8.2684282E-6,7.0044929,56.61472,686.93179,0
3369.06933,,1857,7.74161,7.74161,0.50621879,9.8999999E-6,7.7305581,0.15337608,5573.9154,19.65,4.7423527,0.0583,31.265721,0.07257,16.434031,3.8343429,0.030886883,93.542408,50.414532,0.1158,1,,,,8.5626815E-6,7.3651929,59.761528,721.02368,0
3507.34251,,1857,7.94742,7.94742,0.46872109,9.8999999E-6,7.9360799,0.15740861,6005.2766,21.12,5.0821508,0.06201,33.658143,0.07792,6.2507389,4.004622,0.032384425,93.490253,49.968263,0.1185,1,,,,8.8302797E-6,7.6686858,62.981364,756.70566,0
3646.20157,,1857,8.15262,8.15262,0.48746994,9.8999999E-6,8.1426024,0.16214333,6458.6545,22.71,5.4332483,0.06601,36.166631,0.08374,22.016067,4.1665322,0.033553702,93.489016,49.480148,0.1216,1,,,,9.1205368E-6,8.009244,66.301975,793.19291,0
3784.50819,,1857,8.35794,8.35794,0.54371649,9.8999999E-6,8.348417,0.16620985,6931.9232,24.2,5.8015031,0.07029,38.786926,0.08883,22.267023,4.334507,0.035092886,93.427545,48.947643,0.124,1,,,,9.4075866E-6,8.3330644,69.696066,830.32786,0
