Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev
0,,1.0000000000e+03,2.0000000000e+00,2.3437500000e-03,1.0000000000e-08
0,,1.0000000000e+03,4.0000000000e+00,2.2058823529e-03,1.0000000000e-08
0,,1.0000000000e+03,6.0000000000e+00,2.0833333333e-03,1.0000000000e-08
0,,1.0000000000e+03,8.0000000000e+00,1.9736842105e-03,1.0000000000e-08
0,,1.0000000000e+03,1.0000000000e+01,1.8750000000e-03,1.0000000000e-08
0,,1.0000000000e+03,1.2000000000e+01,1.7857142857e-03,1.0000000000e-08
0,,1.0000000000e+03,1.4000000000e+01,1.7045454545e-03,1.0000000000e-08
0,,1.0000000000e+03,1.6000000000e+01,1.6304347826e-03,1.0000000000e-08
0,,1.0000000000e+03,1.8000000000e+01,1.5625000000e-03,1.0000000000e-08
0,,1.0000000000e+03,2.0000000000e+01,1.5000000000e-03,1.0000000000e-08
0,,1.0000000000e+03,2.2000000000e+01,1.4423076923e-03,1.0000000000e-08
0,,1.0000000000e+03,2.4000000000e+01,1.3888888889e-03,1.0000000000e-08
0,,1.0000000000e+03,2.6000000000e+01,1.3392857143e-03,1.0000000000e-08
0,,1.0000000000e+03,2.8000000000e+01,1.2931034483e-03,1.0000000000e-08
0,,1.0000000000e+03,3.0000000000e+01,1.2500000000e-03,1.0000000000e-08
0,,1.0000000000e+03,3.2000000000e+01,1.2096774194e-03,1.0000000000e-08
0,,1.0000000000e+03,3.4000000000e+01,1.1718750000e-03,1.0000000000e-08
0,,1.0000000000e+03,3.6000000000e+01,1.1363636364e-03,1.0000000000e-08
0,,1.0000000000e+03,3.8000000000e+01,1.1029411765e-03,1.0000000000e-08
0,,1.0000000000e+03,4.0000000000e+01,1.0714285714e-03,1.0000000000e-08
0,,1.0000000000e+03,4.2000000000e+01,1.0416666667e-03,1.0000000000e-08
0,,1.0000000000e+03,4.4000000000e+01,1.0135135135e-03,1.0000000000e-08
0,,1.0000000000e+03,4.6000000000e+01,9.8684210526e-04,1.0000000000e-08
0,,1.0000000000e+03,4.8000000000e+01,9.6153846154e-04,1.0000000000e-08
0,,1.0000000000e+03,5.0000000000e+01,9.3750000000e-04,1.0000000000e-08
0,,1.0000000000e+03,5.2000000000e+01,9.1463414634e-04,1.0000000000e-08
0,,1.0000000000e+03,5.4000000000e+01,8.9285714286e-04,1.0000000000e-08
0,,1.0000000000e+03,5.6000000000e+01,8.7209302326e-04,1.0000000000e-08
0,,1.0000000000e+03,5.8000000000e+01,8.5227272727e-04,1.0000000000e-08
0,,1.0000000000e+03,6.0000000000e+01,8.3333333333e-04,1.0000000000e-08
0,,1.0000000000e+03,6.2000000000e+01,8.1521739130e-04,1.0000000000e-08
0,,1.0000000000e+03,6.4000000000e+01,7.9787234043e-04,1.0000000000e-08
0,,1.0000000000e+03,6.6000000000e+01,7.8125000000e-04,1.0000000000e-08
0,,1.0000000000e+03,6.8000000000e+01,7.6530612245e-04,1.0000000000e-08
0,,1.0000000000e+03,7.0000000000e+01,7.5000000000e-04,1.0000000000e-08
0,,1.0000000000e+03,7.2000000000e+01,7.3529411765e-04,1.0000000000e-08
0,,1.0000000000e+03,7.4000000000e+01,7.2115384615e-04,1.0000000000e-08
0,,1.0000000000e+03,7.6000000000e+01,7.0754716981e-04,1.0000000000e-08
0,,1.0000000000e+03,7.8000000000e+01,6.9444444444e-04,1.0000000000e-08
0,,1.0000000000e+03,8.0000000000e+01,6.8181818182e-04,1.0000000000e-08
0,,1.0000000000e+03,8.2000000000e+01,6.6964285714e-04,1.0000000000e-08
0,,1.0000000000e+03,8.4000000000e+01,6.5789473684e-04,1.0000000000e-08
0,,1.0000000000e+03,8.6000000000e+01,6.4655172414e-04,1.0000000000e-08
0,,1.0000000000e+03,8.8000000000e+01,6.3559322034e-04,1.0000000000e-08
0,,1.0000000000e+03,9.0000000000e+01,6.2500000000e-04,1.0000000000e-08
0,,1.0000000000e+03,9.2000000000e+01,6.1475409836e-04,1.0000000000e-08
0,,1.0000000000e+03,9.4000000000e+01,6.0483870968e-04,1.0000000000e-08
0,,1.0000000000e+03,9.6000000000e+01,5.9523809524e-04,1.0000000000e-08
0,,1.0000000000e+03,9.8000000000e+01,5.8593750000e-04,1.0000000000e-08
