[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,magnetization_vsm_multifield.dat
FILEOPENTIME,0.00,09/01/2026,12:00 am
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,anonymized,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,anonymized,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,anonymized,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A1,OVEN_HW_VERSION
INFO,anonymized,OVEN_SERIAL_NUMBER
INFO,01.06.24,OVEN_SOFTWARE_VERSION
INFO,anonymized,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,anonymized,SAMPLE_MATERIAL
INFO,anonymized,SAMPLE_COMMENT
INFO,anonymized,SAMPLE_MASS
INFO,anonymized,SAMPLE_VOLUME
INFO,anonymized,SAMPLE_MOLECULAR_WEIGHT
INFO,anonymized,SAMPLE_SIZE
INFO,anonymized,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
INFO,300.0,MOLWGHT:Formula Weight (g/mole)
INFO,1.25,MASS:Sample Mass (mg)
INFO,1,ATOMS:Atoms per Formula Unit
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,0.0000,1.99901682138443,99.884464263916,1.21548093230782E-5,1.32798573760606E-7,1,1.99850670813958,40.0298881530762,1.99525890435982,18.2199999690056,0.000138259875858372,1.8422639503997E-5,0.25,-5.61385808961333E-7,1.19992707642473E-5,-4.9588618032056E-7,1.99721610546112,1.99721610546112,99.8375930786133,99.9313354492188,55.4862453231597,20.2708059587525,2.99831962585449,0,0,0,80,1.94731521606445,1,4,1,2.20626831054687,36.6568908691406,,,,,,,,,,,,,,,,
,49.9575,2.77227520942688,99.9032173156738,1.24395700047787E-5,1.62084705081816E-7,1,1.99850670813958,40.0298881530762,1.99522700174319,18.2199999690056,0.0001416235885415,1.81520375555152E-5,0.25,-6.36760994737856E-7,1.22806854202489E-5,-5.689168500673E-7,2.75504565238953,2.75504565238953,99.8938446044922,99.9125900268555,55.1415471461789,20.2717738184419,3.57954883575439,0,0,0,80,2.76700139045715,2,4,1,2.21267700195313,38.6119270324707,,,,,,,,,,,,,,,,
,97.9720,3.57115828990936,99.8469696044922,1.23482184630672E-5,1.45089391946728E-7,1,1.99850670813958,40.0298881530762,1.99527911386219,18.2199999690056,0.000141236460570888,1.44221245121514E-5,0.25,-9.50945933801611E-7,1.21920272082198E-5,-8.79449233797E-7,3.55288481712341,3.55288481712341,99.8375930786133,99.8563461303711,55.6425710270059,20.2758447079968,4.20815944671631,0,0,0,80,3.56936407089233,2,4,1,2.2125244140625,37.6344108581543,,,,,,,,,,,,,,,,
,145.8750,4.36789059638977,99.8375930786133,1.23018776049084E-5,1.50276312752806E-7,1,1.99850670813958,40.0298881530762,1.99520715644675,18.2199999690056,0.000139933899752838,1.86197677161653E-5,0.25,-5.7042293567416E-7,1.21444678204824E-5,-5.04101588129261E-7,4.34822177886963,4.34822177886963,99.8375930786133,99.8375930786133,55.7965518452944,20.2772649997796,4.77011108398438,0,0,0,80,4.37655925750732,2,4,1,2.21572875976562,38.1231689453125,,,,,,,,,,,,,,,,
,193.8470,5.16321206092834,99.9032173156738,1.2187624849049E-5,1.70587304450019E-7,1,1.99850670813958,40.0298881530762,1.99519459757009,18.2199999690056,0.000138420259107804,1.96275451238314E-5,0.25,-4.60447485842117E-7,1.20311758713268E-5,-3.96104716441921E-7,5.14871692657471,5.14871692657471,99.8938446044922,99.9125900268555,55.4104273567943,20.2797558377784,6.31840372085571,0,0,0,80,5.17359161376953,2,4,1,2.20352172851562,39.5894432067871,,,,,,,,,,,,,,,,
,241.8025,5.95819211006165,99.8469696044922,1.22082891385831E-5,1.52980961422031E-7,1,1.99850670813958,40.0298881530762,1.99512941312411,18.2199999690056,0.00013914500954944,1.69221223431783E-5,0.25,-7.03963685200474E-7,1.20527369860205E-5,-6.36352015307128E-7,5.93982076644897,5.93982076644897,99.8375930786133,99.8563461303711,55.4385659834866,20.2814950082067,6.81728649139404,0,0,0,80,5.97844982147217,2,4,1,2.1954345703125,40.5669593811035,,,,,,,,,,,,,,,,
,289.7705,6.76285314559937,99.8469696044922,1.2095038020143E-5,1.55136557219949E-7,1,1.99850670813958,40.0298881530762,1.99504133642119,18.2199999690056,0.000137675702720401,1.77213059711277E-5,0.25,-6.12602560632414E-7,1.19405227276423E-5,-5.46722386835858E-7,6.74464225769043,6.74464225769043,99.8375930786133,99.8563461303711,55.5136023213328,20.280042754699,7.2885913848877,0,0,0,80,6.77639770507812,2,4,1,2.21221923828125,40.5669593811035,,,,,,,,,,,,,,,,
,337.7350,7.55850577354431,99.8657188415527,1.19103923002433E-5,1.7331149267843E-7,1,1.99850670813958,40.0298881530762,1.99507023140952,18.2199999690056,0.000135762648694066,1.64159307437059E-5,0.25,-6.95013915683226E-7,1.17586752039705E-5,-6.28944938065002E-7,7.54041051864624,7.54041051864624,99.8563461303711,99.8750915527344,55.504222779102,20.2794240660171,7.74007034301758,0,0,0,80,7.58087491989136,2,4,1,2.213134765625,41.055721282959,,,,,,,,,,,,,,,,
,385.7090,8.35643339157105,99.8750953674316,1.16428939388882E-5,1.50649689708423E-7,1,1.99850670813958,40.0298881530762,1.99501268707485,18.2199999690056,0.000132712648806965,1.60315706380235E-5,0.25,-6.80754896171644E-7,1.14945907621787E-5,-6.16152194204058E-7,8.33749008178711,8.33749008178711,99.8563461303711,99.8938446044922,55.8231272149482,20.2859148078839,8.15640735626221,0,0,0,80,8.37296390533447,2,4,1,2.21466064453125,41.055721282959,,,,,,,,,,,,,,,,
,433.6510,9.1513614654541,99.8188438415527,1.21157875061617E-5,1.56877030276333E-7,1,1.99850670813958,40.0298881530762,1.99503477131425,18.2199999690056,0.000138196378650818,1.61735429288334E-5,0.25,-7.53561207700994E-7,1.19616769409477E-5,-6.85746765116609E-7,9.13860034942627,9.13860034942627,99.8000946044922,99.8375930786133,55.5894202876982,20.2822585519642,8.57132816314697,0,0,0,80,9.17574691772461,2,4,1,2.2149658203125,40.5669593811035,,,,,,,,,,,,,,,,
