[Header]
TITLE,resistivity_semiconductor.dat
BYAPP, Resistivity, 2.0, 1.0
INFO, , Sample1 Name
INFO, 2.0, Sample1 Cross Section
INFO, 2.0, Sample1 Length
INFO, 2.0, Sample2 Cross Section
INFO, 2.0, Sample2 Length
[Data]
Comment,Time Stamp (sec),Status (code),Temperature (K),Magnetic Field (Oe),Sample Position (degrees),Bridge 1 Resistivity (Ohm-m),Bridge 2 Resistivity (Ohm-m),Number of Readings,Bridge 1 Resistance (Ohms),Bridge 2 Resistance (Ohms)
,0,,300.000000,0.0000,90.0,1.0240689302e-04,7.9261200342e-07,25,1.0240689302e-01,7.9261200342e-04
,0,,299.000000,0.0000,90.0,1.0293739688e-04,7.9916692043e-07,25,1.0293739688e-01,7.9916692043e-04
,0,,298.000000,0.0000,90.0,1.0385671433e-04,7.9892319642e-07,25,1.0385671433e-01,7.9892319642e-04
,0,,297.000000,0.0000,90.0,1.0483618552e-04,7.9707589933e-07,25,1.0483618552e-01,7.9707589933e-04
,0,,296.000000,0.0000,90.0,1.0493093702e-04,7.9738619799e-07,25,1.0493093702e-01,7.9738619799e-04
,0,,295.000000,0.0000,90.0,1.0607236480e-04,7.9414893813e-07,25,1.0607236480e-01,7.9414893813e-04
,0,,294.000000,0.0000,90.0,1.0670968371e-04,7.9571370770e-07,25,1.0670968371e-01,7.9571370770e-04
,0,,293.000000,0.0000,90.0,1.0788303658e-04,7.9182493047e-07,25,1.0788303658e-01,7.9182493047e-04
,0,,292.000000,0.0000,90.0,1.0841553255e-04,7.8770706603e-07,25,1.0841553255e-01,7.8770706603e-04
,0,,291.000000,0.0000,90.0,1.0997952563e-04,7.9046775775e-07,25,1.0997952563e-01,7.9046775775e-04
,0,,290.000000,0.0000,90.0,1.1077749978e-04,7.9098939346e-07,25,1.1077749978e-01,7.9098939346e-04
,0,,289.000000,0.0000,90.0,1.1190413400e-04,7.9263833931e-07,25,1.1190413400e-01,7.9263833931e-04
,0,,288.000000,0.0000,90.0,1.1229703678e-04,7.9150052472e-07,25,1.1229703678e-01,7.9150052472e-04
,0,,287.000000,0.0000,90.0,1.1281646734e-04,7.8997159744e-07,25,1.1281646734e-01,7.8997159744e-04
,0,,286.000000,0.0000,90.0,1.1359599174e-04,7.8680935135e-07,25,1.1359599174e-01,7.8680935135e-04
,0,,285.000000,0.0000,90.0,1.1544925435e-04,7.8552665369e-07,25,1.1544925435e-01,7.8552665369e-04
,0,,284.000000,0.0000,90.0,1.1594800196e-04,7.8210532277e-07,25,1.1594800196e-01,7.8210532277e-04
,0,,283.000000,0.0000,90.0,1.1696538392e-04,7.8546909296e-07,25,1.1696538392e-01,7.8546909296e-04
,0,,282.000000,0.0000,90.0,1.1842744036e-04,7.8138503959e-07,25,1.1842744036e-01,7.8138503959e-04
,0,,281.000000,0.0000,90.0,1.1870876340e-04,7.8257917554e-07,25,1.1870876340e-01,7.8257917554e-04
,0,,280.000000,0.0000,90.0,1.1969040358e-04,7.7875779952e-07,25,1.1969040358e-01,7.7875779952e-04
,0,,279.000000,0.0000,90.0,1.2102213581e-04,7.8073701080e-07,25,1.2102213581e-01,7.8073701080e-04
,0,,278.000000,0.0000,90.0,1.2246985870e-04,7.7907796895e-07,25,1.2246985870e-01,7.7907796895e-04
,0,,277.000000,0.0000,90.0,1.2359573236e-04,7.7541974490e-07,25,1.2359573236e-01,7.7541974490e-04
,0,,276.000000,0.0000,90.0,1.2482485101e-04,7.7928820774e-07,25,1.2482485101e-01,7.7928820774e-04
,0,,275.000000,0.0000,90.0,1.2575928410e-04,7.7647310713e-07,25,1.2575928410e-01,7.7647310713e-04
,0,,274.000000,0.0000,90.0,1.2689280402e-04,7.7638830570e-07,25,1.2689280402e-01,7.7638830570e-04
,0,,273.000000,0.0000,90.0,1.2838409964e-04,7.7503102535e-07,25,1.2838409964e-01,7.7503102535e-04
,0,,272.000000,0.0000,90.0,1.2947010305e-04,7.7579824899e-07,25,1.2947010305e-01,7.7579824899e-04
,0,,271.000000,0.0000,90.0,1.3042091904e-04,7.7022707386e-07,25,1.3042091904e-01,7.7022707386e-04
,0,,270.000000,0.0000,90.0,1.3157667212e-04,7.7141132384e-07,25,1.3157667212e-01,7.7141132384e-04
,0,,269.000000,0.0000,90.0,1.3283191090e-04,7.6751306321e-07,25,1.3283191090e-01,7.6751306321e-04
,0,,268.000000,0.0000,90.0,1.3466518471e-04,7.7067746866e-07,25,1.3466518471e-01,7.7067746866e-04
,0,,267.000000,0.0000,90.0,1.3591960157e-04,7.6082617872e-07,25,1.3591960157e-01,7.6082617872e-04
,0,,266.000000,0.0000,90.0,1.3663055085e-04,7.6353312117e-07,25,1.3663055085e-01,7.6353312117e-04
,0,,265.000000,0.0000,90.0,1.3788142098e-04,7.6406417325e-07,25,1.3788142098e-01,7.6406417325e-04
,0,,264.000000,0.0000,90.0,1.4052893254e-04,7.6329544251e-07,25,1.4052893254e-01,7.6329544251e-04
,0,,263.000000,0.0000,90.0,1.4086400213e-04,7.6459960526e-07,25,1.4086400213e-01,7.6459960526e-04
,0,,262.000000,0.0000,90.0,1.4263883707e-04,7.6227587706e-07,25,1.4263883707e-01,7.6227587706e-04
,0,,261.000000,0.0000,90.0,1.4377193527e-04,7.6099656530e-07,25,1.4377193527e-01,7.6099656530e-04
,0,,260.000000,0.0000,90.0,1.4574427953e-04,7.5564222100e-07,25,1.4574427953e-01,7.5564222100e-04
