[Header]
TITLE,rho_sc_synth
BYAPP, Resistivity, 2.0, 1.0
INFO, , Sample1 Name
INFO, 2.0, Sample1 Cross Section
INFO, 2.0, Sample1 Length
INFO, 2.0, Sample2 Cross Section
INFO, 2.0, Sample2 Length
[Data]
Comment,Time Stamp (sec),Status (code),Temperature (K),Magnetic Field (Oe),Sample Position (degrees),Bridge 1 Resistivity (Ohm-m),Bridge 2 Resistivity (Ohm-m),Number of Readings,Bridge 1 Resistance (Ohms),Bridge 2 Resistance (Ohms)
,0,,300.000000,0.0000,90.0,1.0162105909e-06,8.0293933059e-07,25,1.0162105909e-03,8.0293933059e-04
,0,,297.500000,0.0000,90.0,1.0092056517e-06,7.9623823332e-07,25,1.0092056517e-03,7.9623823332e-04
,0,,295.000000,0.0000,90.0,1.0118637926e-06,7.9678132219e-07,25,1.0118637926e-03,7.9678132219e-04
,0,,292.500000,0.0000,90.0,1.0102922270e-06,7.9227073254e-07,25,1.0102922270e-03,7.9227073254e-04
,0,,290.000000,0.0000,90.0,1.0105520498e-06,7.8910153640e-07,25,1.0105520498e-03,7.8910153640e-04
,0,,287.500000,0.0000,90.0,1.0122758582e-06,7.8702152318e-07,25,1.0122758582e-03,7.8702152318e-04
,0,,285.000000,0.0000,90.0,1.0097061115e-06,7.8295034779e-07,25,1.0097061115e-03,7.8295034779e-04
,0,,282.500000,0.0000,90.0,1.0048881414e-06,7.8092584673e-07,25,1.0048881414e-03,7.8092584673e-04
,0,,280.000000,0.0000,90.0,9.9961066266e-07,7.7890582171e-07,25,9.9961066266e-04,7.7890582171e-04
,0,,277.500000,0.0000,90.0,9.9864487990e-07,7.7758545773e-07,25,9.9864487990e-04,7.7758545773e-04
,0,,275.000000,0.0000,90.0,1.0067820991e-06,7.7327113923e-07,25,1.0067820991e-03,7.7327113923e-04
,0,,272.500000,0.0000,90.0,1.0077543887e-06,7.7180472544e-07,25,1.0077543887e-03,7.7180472544e-04
,0,,270.000000,0.0000,90.0,1.0084524334e-06,7.6952193063e-07,25,1.0084524334e-03,7.6952193063e-04
,0,,267.500000,0.0000,90.0,1.0024252880e-06,7.6806997407e-07,25,1.0024252880e-03,7.6806997407e-04
,0,,265.000000,0.0000,90.0,1.0014296354e-06,7.6348159832e-07,25,1.0014296354e-03,7.6348159832e-04
,0,,262.500000,0.0000,90.0,9.9478641510e-07,7.6278921905e-07,25,9.9478641510e-04,7.6278921905e-04
,0,,260.000000,0.0000,90.0,1.0003779306e-06,7.6315927533e-07,25,1.0003779306e-03,7.6315927533e-04
,0,,257.500000,0.0000,90.0,1.0045263820e-06,7.5841287937e-07,25,1.0045263820e-03,7.5841287937e-04
,0,,255.000000,0.0000,90.0,9.9828850232e-07,7.5639055068e-07,25,9.9828850232e-04,7.5639055068e-04
,0,,252.500000,0.0000,90.0,9.9547270555e-07,7.5328342046e-07,25,9.9547270555e-04,7.5328342046e-04
,0,,250.000000,0.0000,90.0,1.0004056883e-06,7.4901211008e-07,25,1.0004056883e-03,7.4901211008e-04
,0,,247.500000,0.0000,90.0,9.9898267436e-07,7.4553498316e-07,25,9.9898267436e-04,7.4553498316e-04
,0,,245.000000,0.0000,90.0,9.9845546305e-07,7.4610069866e-07,25,9.9845546305e-04,7.4610069866e-04
,0,,242.500000,0.0000,90.0,9.9865791816e-07,7.4384808741e-07,25,9.9865791816e-04,7.4384808741e-04
,0,,240.000000,0.0000,90.0,9.9746021790e-07,7.4279665646e-07,25,9.9746021790e-04,7.4279665646e-04
,0,,237.500000,0.0000,90.0,9.9491316195e-07,7.3945392913e-07,25,9.9491316195e-04,7.3945392913e-04
,0,,235.000000,0.0000,90.0,9.9550243623e-07,7.3278030382e-07,25,9.9550243623e-04,7.3278030382e-04
,0,,232.500000,0.0000,90.0,9.9324332903e-07,7.3374586266e-07,25,9.9324332903e-04,7.3374586266e-04
,0,,230.000000,0.0000,90.0,9.9167580763e-07,7.2933748593e-07,25,9.9167580763e-04,7.2933748593e-04
,0,,227.500000,0.0000,90.0,9.9024903890e-07,7.3080512372e-07,25,9.9024903890e-04,7.3080512372e-04
,0,,225.000000,0.0000,90.0,9.9153895947e-07,7.2374948591e-07,25,9.9153895947e-04,7.2374948591e-04
,0,,222.500000,0.0000,90.0,9.9772689618e-07,7.2341297407e-07,25,9.9772689618e-04,7.2341297407e-04
,0,,220.000000,0.0000,90.0,9.8975738044e-07,7.1996410253e-07,25,9.8975738044e-04,7.1996410253e-04
