[Header]
TITLE,thermal_transport_example
BYAPP,THERMAL_TRANSPORT,1.0,1.1
INFO,PPMS Thermal Transport Option Version: Release 1.1.5 Build 5,APPNAME
INFO,TTO_SYNTH,SAMPLE_MATERIAL
INFO,bulk,SAMPLE_COMMENT
INFO,2.5,SAMPLE_VLEAD_SEPARATION
INFO,2.5,SAMPLE_ILEAD_SEPARATION
INFO,2.8565,SAMPLE_CROSS_SECTION
INFO,38.545,SAMPLE_SURFACE_AREA
INFO,0.3,SAMPLE_EMISSIVITY
[Data]
Comment,Time Stamp (sec),Status (code),Error (code),Magnetic Field (Oe),Sample Temp. (K),Conductivity (W/K-m),Cond. Std.Dev.,Seebeck Coef. (µV/K),Seebeck Std.Dev.,Resistivity (Ohm-m),Resist Std.Dev.,Figure of Merit ZT,Merit Std.Dev.,Delta Temp. (K),Conductance (W/K),Raw Conductance (W/K),Seebeck Volt. (µV),Resistance (Ohm),Min. Temp. (K),Max. Temp. (K),Temp. Rise (K),Req. Htr Power (W),Heater Power (W),Rad. Loss (W),Cond. Pwr. (W),Heater Current (mA),Res. Drive (mA),Res. Freq (Hz),Period (sec),Period Ratio,tau1 (sec),tau2 (sec),Seebeck Gain,Resist. Gain,System Temp (K),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,0,5906,0,0.0000,3.00000000e+02,7.24300271e+00,7.24300271e-02,3.00000000e+00,3.00000000e-02,1.00000000e-05,1.00000000e-07,3.72773573e-05,3.72773573e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,5906,0,0.0000,2.97000000e+02,7.30871131e+00,7.30871131e-02,2.97000000e+00,2.97000000e-02,9.90050000e-06,9.90050000e-08,3.62052385e-05,3.62052385e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,5906,0,0.0000,2.94000000e+02,7.37568545e+00,7.37568545e-02,2.94000000e+00,2.94000000e-02,9.80200000e-06,9.80200000e-08,3.51499657e-05,3.51499657e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,5906,0,0.0000,2.91000000e+02,7.44396432e+00,7.44396432e-02,2.91000000e+00,2.91000000e-02,9.70450000e-06,9.70450000e-08,3.41115552e-05,3.41115552e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,5906,0,0.0000,2.88000000e+02,7.51358875e+00,7.51358875e-02,2.88000000e+00,2.88000000e-02,9.60800000e-06,9.60800000e-08,3.30900214e-05,3.30900214e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,5906,0,0.0000,2.85000000e+02,7.58460137e+00,7.58460137e-02,2.85000000e+00,2.85000000e-02,9.51250000e-06,9.51250000e-08,3.20853773e-05,3.20853773e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,5906,0,0.0000,2.82000000e+02,7.65704666e+00,7.65704666e-02,2.82000000e+00,2.82000000e-02,9.41800000e-06,9.41800000e-08,3.10976338e-05,3.10976338e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,5906,0,0.0000,2.79000000e+02,7.73097107e+00,7.73097107e-02,2.79000000e+00,2.79000000e-02,9.32450000e-06,9.32450000e-08,3.01268003e-05,3.01268003e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,5906,0,0.0000,2.76000000e+02,7.80642314e+00,7.80642314e-02,2.76000000e+00,2.76000000e-02,9.23200000e-06,9.23200000e-08,2.91728838e-05,2.91728838e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,5906,0,0.0000,2.73000000e+02,7.88345358e+00,7.88345358e-02,2.73000000e+00,2.73000000e-02,9.14050000e-06,9.14050000e-08,2.82358895e-05,2.82358895e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
